id,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,reviews_per_month,host_total_listings_count,accommodates,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,number_of_reviews,number_of_reviews_ltm,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,latitude,longitude,review_scores_average,availability_30,availability_60,availability_90,availability_365,number_of_reviews_l30d,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,has_availability,instant_bookable,host_location_nearby,has_beach,license_reported,host_since,neighbourhood_cleansed,property_type,amenities,first_review,last_review,calculated_host_listings_count_shared_rooms,bathrooms_number,bathrooms_private,bathrooms_shared,calculated_host_has_shared_rooms,neighbourhood_group_cleansed_Araba,neighbourhood_group_cleansed_Bizkaia,neighbourhood_group_cleansed_Gipuzkoa,host_response_time_day,host_response_time_few_days,host_response_time_few_hours,host_response_time_hour,description_language_en,description_language_es,description_language_fr,description_language_other,room_type_home,room_type_room_hotel,room_type_room_private,room_type_room_shared,price
132068,0.6547448435485791,1.129818376655541,0.6076358627145989,166.09694970350404,0.8938241671718375,0.6008670000350488,1.4561324199074364,0.46400291721084336,23.417905396317153,0.4508252507036337,0.7575401348133471,74.29815025256433,193.70443728738604,5.778404242300897,4.0650985287335395,0.5368565201504831,0.5732217703133562,-0.0,43.3252,-1.97209,4.884285714285714,6,12,14,226,2,1.0,1.0,1,1,1,1,1,0.0,1,0,4035,Donostia-San_Sebastian,37,"[""Cooking basics"", ""Iron"", ""Host greets you"", ""Patio or balcony"", ""Long term stays allowed"", ""Shampoo"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Kitchen"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Crib"", ""Elevator"", ""TV"", ""Essentials"", ""Refrigerator"", ""First aid kit"", ""Dishes and silverware"", ""Free parking on premises"", ""Washer"", ""Stove"", ""Hangers"", ""Hot water"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Microwave"", ""Oven""]",4031,82,0,1.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,4.990432586778736
134802,0.4938846749405049,0.6245833744606711,0.7374333818209302,6782.407195297464,0.05683987107369173,0.8788930406307857,0.6636186465656444,0.6594470503603124,36.91400545214833,0.6283040521158435,0.874692273691441,1530.8735654819666,8992.701885609245,2.0134389627115024,-0.0,0.5368565201504831,-0.0,0.4301779447720716,43.24987,-2.93956,4.284285714285715,0,0,0,0,0,1.0,1.0,0,1,1,1,1,0.0,0,0,4032,Bilbao,13,"[""Dishwasher"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Freezer"", ""Clothing storage: closet"", ""Cooking basics"", ""Iron"", ""Bed linens"", ""Long term stays allowed"", ""Shampoo"", ""Bathtub"", ""Luggage dropoff allowed"", ""SMEG refrigerator"", ""Kitchen"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Elevator"", ""SMEG stainless steel oven"", ""TV"", ""Paid street parking off premises"", ""Essentials"", ""Shared patio or balcony"", ""Shower gel"", ""Free street parking"", ""Dishes and silverware"", ""Outlet covers"", ""Ethernet connection"", ""Washer"", ""Hangers"", ""Hot water"", ""Microwave"", ""Room-darkening shades"", ""Lock on bedroom door"", ""Building staff""]",3623,564,0,1.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3.6635616461296463
142760,0.4938846749405049,0.6245833744606711,0.8391745661698815,3880.9047061745296,0.25304437173017064,0.8788930406307857,1.025667945326166,0.7309124361960839,129.00224401554368,0.6892486887203945,1.0431952446872539,971.8958755151854,5046.639460007348,3.569390680445836,1.590828683059937,0.5368565201504831,0.5732217703133562,-0.0,43.39062,-2.6947,4.704285714285715,29,59,89,332,0,1.0,1.0,1,1,1,1,0,0.0,1,0,4023,Busturia,40,"[""Dishwasher"", ""Private patio or balcony"", ""Cooking basics"", ""Air conditioning"", ""Iron"", ""Long term stays allowed"", ""Shampoo"", ""Coffee maker"", ""Kitchen"", ""Dedicated workspace"", ""Heating"", ""Elevator"", ""Essentials"", ""Dryer"", ""Free street parking"", ""Refrigerator"", ""Dishes and silverware"", ""Free parking on premises"", ""Cable TV"", ""Washer"", ""Stove"", ""Hangers"", ""Hot water"", ""Hair dryer"", ""Microwave"", ""TV with standard cable"", ""Oven""]",3957,292,0,1.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,4.77912349311153
309802,0.6547448435485791,1.379336033340674,0.7374333818209302,6782.407195297464,0.0477855490440943,1.4721191094978434,1.72484579654448,0.6594470503603124,173.57429190234828,0.6283040521158435,0.874692273691441,1530.8735654819666,8992.701885609245,1.742610673405747,0.6896802408670537,1.0581909332647994,1.2215602056082702,0.4301779447720716,43.31582,-2.00394,4.171428571428572,23,39,60,274,0,1.0,0.97,0,1,0,1,0,0.0,1,0,3811,Donostia-San_Sebastian,40,"[""Dishwasher"", ""Backyard"", ""Cooking basics"", ""Iron"", ""Bed linens"", ""Host greets you"", ""Patio or balcony"", ""Long term stays allowed"", ""Coffee maker"", ""Paid parking on premises"", ""Kitchen"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Elevator"", ""TV"", ""Essentials"", ""Refrigerator"", ""First aid kit"", ""Dishes and silverware"", ""Washer"", ""Stove"", ""Fire extinguisher"", ""Hot water"", ""Waterfront"", ""Hair dryer"", ""Microwave"", ""Oven""]",2964,254,0,2.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,5.247024072160486
309813,0.7340398964511711,1.379336033340674,0.9422599314836596,395.51817881534043,0.09152654565202041,1.4721191094978434,1.918217067254183,0.7910523940552874,37.77267785183527,0.7365071293045127,1.2681565832676012,151.11128001850932,475.17361090784004,2.465027816871394,-0.0,1.0581909332647994,1.2215602056082702,0.4301779447720716,43.31478,-1.98734,4.675714285714285,28,45,75,300,0,1.0,0.97,0,1,0,1,0,0.0,1,0,3811,Donostia-San_Sebastian,40,"[""Dishwasher"", ""Cooking basics"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Host greets you"", ""Patio or balcony"", ""Long term stays allowed"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Kitchen"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Elevator"", ""TV"", ""Essentials"", ""High chair"", ""Refrigerator"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Stove"", ""Hangers"", ""Fire extinguisher"", ""Single level home"", ""Hot water"", ""Waterfront"", ""Microwave"", ""Oven"", ""Paid parking off premises""]",3746,1476,0,2.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,5.19295685089021
309828,0.7340398964511711,1.379336033340674,0.9422599314836596,395.51817881534043,0.24711248004101302,1.4721191094978434,1.918217067254183,0.7910523940552874,37.77267785183527,0.7365071293045127,1.2681565832676012,151.11128001850932,475.17361090784004,3.312587147727197,-0.0,1.0581909332647994,1.2215602056082702,0.4301779447720716,43.31631,-1.98617,4.974285714285713,28,58,88,302,0,1.0,0.97,0,1,0,1,0,0.0,1,0,3811,Donostia-San_Sebastian,40,"[""Dishwasher"", ""Cooking basics"", ""Iron"", ""Bed linens"", ""Host greets you"", ""Patio or balcony"", ""Long term stays allowed"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Kitchen"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Elevator"", ""TV"", ""Essentials"", ""High chair"", ""Refrigerator"", ""First aid kit"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Stove"", ""Hangers"", ""Fire extinguisher"", ""Hot water"", ""Waterfront"", ""Hair dryer"", ""Microwave"", ""Oven"", ""Paid parking off premises""]",3086,1727,0,2.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,5.521460917862246
309830,0.781125547432801,1.5385106631949803,0.7374333818209302,395.51817881534043,0.28696876279556527,1.4721191094978434,2.068265804437611,0.6594470503603124,37.77267785183527,0.6283040521158435,0.874692273691441,151.11128001850932,475.17361090784004,3.548953366569824,2.6556416229402964,1.0581909332647994,1.2215602056082702,0.4301779447720716,43.31679,-1.98624,4.792857142857144,11,17,26,206,0,1.0,0.97,0,1,0,1,0,0.0,1,0,3811,Donostia-San_Sebastian,13,"[""Dishwasher"", ""Cooking basics"", ""Iron"", ""Bed linens"", ""Host greets you"", ""Long term stays allowed"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Kitchen"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Elevator"", ""TV"", ""Essentials"", ""High chair"", ""Refrigerator"", ""First aid kit"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Stove"", ""Hangers"", ""Fire extinguisher"", ""Beachfront"", ""Hot water"", ""Waterfront"", ""Microwave"", ""Oven"", ""Paid parking off premises""]",3349,157,0,2.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,5.752572638825633
329695,0.7340398964511711,1.4663677582006354,0.7374333818209302,1587.201931251502,0.2410965992871675,0.6008670000350488,1.72484579654448,0.6594470503603124,80.02769290520901,0.6283040521158435,0.874692273691441,469.29604968034,2000.8032199008317,2.5968315563610824,1.0899199596694749,0.5368565201504831,0.5732217703133562,-0.0,43.40585,-2.94824,4.909999999999999,25,55,85,191,0,1.0,1.0,0,1,0,1,1,0.0,1,1,3789,Plentzia,46,"[""Dishwasher"", ""Cooking basics"", ""Iron"", ""Bed linens"", ""Host greets you"", ""Long term stays allowed"", ""Shampoo"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Kitchen"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Elevator"", ""Essentials"", ""Dryer"", ""Refrigerator"", ""First aid kit"", ""Dishes and silverware"", ""Private entrance"", ""Washer"", ""Stove"", ""Hangers"", ""Private hot tub"", ""Hot water"", ""Waterfront"", ""Hair dryer"", ""Microwave"", ""Oven"", ""TV with standard cable"", ""Cable TV"", ""Paid parking off premises""]",1435,189,0,3.5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,5.634789603169249
341691,0.4938846749405049,0.6245833744606711,0.6572856151660491,6782.407195297464,0.4189311821895444,0.8788930406307857,1.025667945326166,0.5980472080693966,173.57429190234828,0.5738649145020945,0.7575401348133471,1530.8735654819666,8992.701885609245,3.4388109306611114,-0.0,0.5368565201504831,-0.0,0.4301779447720716,43.26317,-2.94752,4.781428571428571,0,0,0,150,0,1.0,0.0,0,1,1,1,0,0.0,0,0,3779,Bilbao,13,"[""Dishwasher"", ""Bed linens"", ""Host greets you"", ""Long term stays allowed"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Wifi"", ""Heating"", ""Elevator"", ""TV"", ""Extra pillows and blankets"", ""Essentials"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Security cameras on property"", ""Hot water"", ""Microwave"", ""Breakfast"", ""Room-darkening shades"", ""Oven"", ""Paid parking off premises""]",1713,943,0,1.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4.0943445622221
376823,0.8343472156293346,1.6991200750078972,0.8167268137281813,6782.407195297464,0.0477855490440943,0.8788930406307857,1.918217067254183,0.7159082691560139,173.57429190234828,0.6767417383879183,1.0033729334776098,1530.8735654819666,8992.701885609245,0.6857078621762699,-0.0,0.5368565201504831,0.5732217703133562,-0.0,43.2971,-1.86289,5.0,28,58,80,343,0,0.67,1.0,0,1,1,1,1,0.0,0,0,3783,Oiartzun,54,"[""Indoor fireplace"", ""Dishwasher"", ""Private sauna"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Freezer"", ""Clothing storage: closet"", ""Cooking basics"", ""Iron"", ""Bikes"", ""Toaster"", ""Long term stays allowed"", ""Shampoo"", ""Coffee maker"", ""Bathtub"", ""Luggage dropoff allowed"", ""Kitchen"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Bidet"", ""Crib"", ""Extra pillows and blankets"", ""Essentials"", ""Board games"", ""Shower gel"", ""Dryer"", ""Free street parking"", ""Refrigerator"", ""First aid kit"", ""Dishes and silverware"", ""Private entrance"", ""Free parking on premises"", ""Dining table"", ""Washer"", ""Hangers"", ""Private fenced garden or backyard"", ""Fire extinguisher"", ""Hot water"", ""Children\u2019s books and toys"", ""Gym"", ""Hair dryer"", ""Microwave"", ""Oven"", ""BBQ grill"", ""Body soap"", ""Room-darkening shades"", ""TV with standard cable"", ""Sound system"", ""Wine glasses"", ""Cleaning products"", ""Cable TV"", ""Hot water kettle""]",677,677,0,5.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,6.396929655216146
